,org:resource,lifecycle:transition,concept:name,time:timestamp,REG_DATE,case:concept:name,Request loan amount,Case length in calendar days,activity_count,average_cancellation,average_resource,bounded_existence_O_ACCEPTED,four_eye_principle_O_CREATED_O_ACCEPTED
6,10862.0,COMPLETE,Loan requested,2011-10-01 11:45:09,2011-10-01 00:38:44.546000+02:00,173688,20000,11.0,5,0,3,0,0
8,10862.0,COMPLETE,Create loan offer,2011-10-01 11:45:11,2011-10-01 00:38:44.546000+02:00,173688,20000,11.0,5,0,3,0,0
9,10862.0,COMPLETE,Sent loan offer to client,2011-10-01 11:45:11,2011-10-01 00:38:44.546000+02:00,173688,20000,11.0,5,0,3,0,0
17,11049.0,COMPLETE,Receive documents from client,2011-10-10 11:33:03,2011-10-01 00:38:44.546000+02:00,173688,20000,11.0,5,0,3,0,0
23,10629.0,COMPLETE,Approve loan request,2011-10-13 10:37:29,2011-10-01 00:38:44.546000+02:00,173688,20000,11.0,5,0,3,0,0
35,10862.0,COMPLETE,Loan requested,2011-10-01 14:35:46,2011-10-01 08:08:58.256000+02:00,173691,5000,8.0,9,1,5,0,0
36,10862.0,COMPLETE,Create loan offer,2011-10-01 14:35:47,2011-10-01 08:08:58.256000+02:00,173691,5000,8.0,9,1,5,0,0
37,112.0,COMPLETE,Sent loan offer to client,2011-10-01 14:35:47,2011-10-01 08:08:58.256000+02:00,173691,5000,8.0,9,1,5,0,0
43,11120.0,COMPLETE,Loan requested,2011-10-03 16:56:17,2011-10-01 08:08:58.256000+02:00,173691,5000,8.0,9,1,5,0,0
44,11120.0,COMPLETE,Cancel loan request,2011-10-03 16:56:17,2011-10-01 08:08:58.256000+02:00,173691,5000,8.0,9,1,5,0,0
45,11120.0,COMPLETE,Create loan offer,2011-10-03 16:56:19,2011-10-01 08:08:58.256000+02:00,173691,5000,8.0,9,1,5,0,0
46,11120.0,COMPLETE,Sent loan offer to client,2011-10-03 16:56:19,2011-10-01 08:08:58.256000+02:00,173691,5000,8.0,9,1,5,0,0
52,11049.0,COMPLETE,Receive documents from client,2011-10-10 10:14:43,2011-10-01 08:08:58.256000+02:00,173691,5000,8.0,9,1,5,0,0
60,10809.0,COMPLETE,Approve loan request,2011-10-10 14:17:26,2011-10-01 08:08:58.256000+02:00,173691,5000,8.0,9,1,5,0,0
78,11201.0,COMPLETE,Loan requested,2011-10-03 13:40:14,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
79,11201.0,COMPLETE,Create loan offer,2011-10-03 13:40:15,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
80,11201.0,COMPLETE,Sent loan offer to client,2011-10-03 13:40:15,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
84,11201.0,COMPLETE,Loan requested,2011-10-03 13:44:17,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
85,11201.0,COMPLETE,Cancel loan request,2011-10-03 13:44:17,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
86,11201.0,COMPLETE,Create loan offer,2011-10-03 13:44:19,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
87,11201.0,COMPLETE,Sent loan offer to client,2011-10-03 13:44:19,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
97,10861.0,COMPLETE,Loan requested,2011-10-17 19:43:53,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
98,10861.0,COMPLETE,Cancel loan request,2011-10-17 19:43:53,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
99,10861.0,COMPLETE,Create loan offer,2011-10-17 19:43:55,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
100,10861.0,COMPLETE,Sent loan offer to client,2011-10-17 19:43:55,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
114,11049.0,COMPLETE,Receive documents from client,2011-11-02 09:15:16,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
118,10609.0,COMPLETE,Approve loan request,2011-11-04 16:04:52,2011-10-01 08:10:30.287000+02:00,173694,7000,32.0,13,2,4,0,0
210,10862.0,COMPLETE,Loan requested,2011-10-01 10:44:40,2011-10-01 10:37:39.362000+02:00,173718,15000,25.0,9,1,3,0,0
211,10862.0,COMPLETE,Create loan offer,2011-10-01 10:44:42,2011-10-01 10:37:39.362000+02:00,173718,15000,25.0,9,1,3,0,0
212,10862.0,COMPLETE,Sent loan offer to client,2011-10-01 10:44:42,2011-10-01 10:37:39.362000+02:00,173718,15000,25.0,9,1,3,0,0
218,10862.0,COMPLETE,Loan requested,2011-10-01 10:46:52,2011-10-01 10:37:39.362000+02:00,173718,15000,25.0,9,1,3,0,0
219,10862.0,COMPLETE,Cancel loan request,2011-10-01 10:46:52,2011-10-01 10:37:39.362000+02:00,173718,15000,25.0,9,1,3,0,0
220,10862.0,COMPLETE,Create loan offer,2011-10-01 10:46:54,2011-10-01 10:37:39.362000+02:00,173718,15000,25.0,9,1,3,0,0
221,10862.0,COMPLETE,Sent loan offer to client,2011-10-01 10:46:54,2011-10-01 10:37:39.362000+02:00,173718,15000,25.0,9,1,3,0,0
231,11049.0,COMPLETE,Receive documents from client,2011-10-10 10:55:04,2011-10-01 10:37:39.362000+02:00,173718,15000,25.0,9,1,3,0,0
