,0
0,644
1,1807
2,1135
3,1037
4,1979
5,2208
6,1396
7,23
8,1328
9,1778
10,30
11,797
12,1315
13,1532
14,934
15,1252
16,1985
17,1400
18,1423
19,559
20,1317
21,142
22,1460
23,365
24,1329
25,1082
26,27
27,1172
28,1341
29,1719
30,75
31,489
32,907
33,1759
34,1170
35,437
36,1372
37,5
38,928
39,1388
40,1300
41,1575
42,1504
43,1737
44,2206
45,491
46,334
47,216
48,1386
49,1387
50,203
51,724
52,1653
53,1433
54,1237
55,1366
56,1033
57,1727
58,674
59,2025
60,1425
61,2184
62,1343
63,257
64,1052
65,1616
66,1843
67,1333
68,1018
69,1537
70,2175
71,183
72,1321
73,736
74,871
75,377
76,475
77,1467
78,206
79,1001
80,2199
81,1250
82,243
83,958
84,1461
85,1397
86,2213
87,1671
88,701
89,1782
90,1095
91,995
92,1593
93,719
94,286
95,1928
96,1193
97,1957
98,1241
99,1771
100,249
101,1486
102,2027
103,1454
104,643
105,1438
106,2132
107,915
108,1811
109,395
110,1327
111,581
112,199
113,1669
114,1365
115,31
116,1525
117,902
118,1353
119,1324
120,1641
121,588
122,1611
123,1528
124,1794
125,827
126,1675
127,1953
128,1860
129,1799
130,1318
131,2180
132,180
133,875
134,2
135,131
136,807
137,1047
138,1515
139,1834
140,235
141,1942
142,1006
143,1077
144,240
145,2139
146,2155
147,238
148,1677
149,2063
150,1186
151,1837
152,1964
153,1803
154,55
155,577
156,1647
157,225
158,41
159,1472
160,1796
161,1220
162,1547
163,1302
164,399
165,163
166,1988
167,1524
168,1230
169,679
170,991
171,1591
172,1923
173,1134
174,1074
175,1994
176,1886
177,2236
178,480
179,1240
180,801
181,610
182,13
183,1872
184,2153
185,757
186,893
187,455
188,420
189,558
190,2030
191,2055
192,488
193,874
194,606
195,754
196,2046
197,1319
198,1153
199,695
200,421
201,2076
202,1376
203,1740
204,272
205,987
206,1113
207,1051
208,1686
209,646
210,2191
211,33
212,1139
213,1374
214,843
215,829
216,619
217,1503
218,1901
219,175
220,173
221,349
222,1469
223,1578
224,1526
225,2130
226,1983
227,28
228,1561
229,117
230,1974
231,1235
232,99
233,1754
234,1893
235,1996
236,1839
237,999
238,533
239,1604
240,2157
